Date,PNB Price,PNB Open,PNB High,PNB Low,PNB Vol.,Change %,HDFC Price,HDFC Open,HDFC High,HDFC Low,HDFC Vol.,HDFC Change %,,,Dropdown,,,,,,,,,Date,HDFC Price,PNB Price
21-10-2024,915.1,941.1,941.8,913.25,456.86K,-1.89%,745.85,748.85,755.45,742.45,4.51M,0.46%,,,,,,,,,,,,21-10-2024,745.85,915.1
18-10-2024,932.75,934,939,895.1,937.19K,-0.10%,742.45,726,744,720.1,3.70M,2.25%,,,,,,,,,,,,18-10-2024,742.45,932.75
17-10-2024,933.65,959.45,960.95,930.05,456.32K,-2.69%,726.1,730,731.5,715.95,4.31M,-0.10%,,,,,,,,,,,,17-10-2024,726.10,933.65
16-10-2024,959.45,981,981.65,953,570.34K,-2.28%,726.8,723.45,732.45,714.85,5.38M,1.76%,,,,,,,,,,,,16-10-2024,726.80,959.45
15-10-2024,981.85,994.2,"1,011.80",964.05,1.21M,-0.77%,714.25,742.8,746.45,711.3,6.67M,-3.56%,,,,,,,,,,,,15-10-2024,714.25,981.85
14-10-2024,989.5,975.7,"1,014.40",967.85,1.41M,1.60%,740.6,728,741.6,726.3,3.99M,2.31%,,,,,,,,,,,,14-10-2024,740.60,989.5
11-10-2024,973.95,952.9,983,943.9,826.95K,2.49%,723.85,721.5,725.5,717,1.98M,0.03%,,,,,,,,,,,,11-10-2024,723.85,973.95
10-10-2024,950.25,954.5,965.5,944.6,1.03M,0.44%,723.65,721,726.2,713.3,2.25M,0.89%,,,,,,,,,,,,10-10-2024,723.65,950.25
09-10-2024,946.05,946,983,940.45,2.41M,0.74%,717.3,709.85,725.45,703.75,1.74M,1.01%,,,,,,,,,,,,09-10-2024,717.30,946.05
08-10-2024,939.1,939.95,955.9,933.55,1.67M,0.45%,710.1,700.5,712.55,699.8,3.77M,0.60%,,,,,,,,,,,,08-10-2024,710.10,939.1
07-10-2024,934.85,954.2,954.2,916.75,1.31M,-1.06%,705.85,711.65,719.3,702.9,3.47M,-0.42%,,,,,,,,,,,,07-10-2024,705.85,934.85
04-10-2024,944.85,942.35,987.25,922.4,3.16M,0.65%,708.8,702.25,713.5,701.55,2.62M,0.93%,,,,,,,,,,,,04-10-2024,708.80,944.85
03-10-2024,938.75,970,979.55,930.2,1.19M,-3.40%,702.25,696.55,711.95,696.5,2.54M,-1.12%,,,,,,,,,,,,03-10-2024,702.25,938.75
01-10-2024,971.8,982.95,992,969,569.83K,-1.13%,710.2,716,723.35,706.6,1.99M,-1.09%,,,,,,,,,,,,01-10-2024,710.20,971.8
30-09-2024,982.95,965,987,960,848.26K,1.13%,718,735,736.35,716,2.49M,-1.67%,,,,,,,,,,,,30-09-2024,718.00,982.95
27-09-2024,971.95,996,"1,002.65",963,766.36K,-2.59%,730.2,729.45,740.65,726.35,4.57M,0.09%,,,,,,,,,,,,27-09-2024,730.20,971.95
26-09-2024,997.8,997.5,"1,005.85",981.7,868.48K,0.01%,729.55,716.55,732,714.3,2.80M,1.81%,,,,,,,,,,,,26-09-2024,729.55,997.8
25-09-2024,997.75,995.55,"1,003.80",969.3,1.27M,0.21%,716.55,722,723.1,710.1,1.10M,-0.58%,,,,,,,,,,,,25-09-2024,716.55,997.75
24-09-2024,995.7,"1,015.95","1,028.00",986.4,1.64M,-1.74%,720.7,727.5,728.95,715.15,3.21M,-0.93%,,,,,,,,,,,,24-09-2024,720.70,995.7
23-09-2024,"1,013.35","1,008.70","1,023.65","1,000.95",1.25M,0.46%,727.5,718.85,730,714.05,2.94M,2.31%,,,,,,,,,,,,23-09-2024,727.50,1013.35
